id,firstName,lastName,login,password,isActive
101,John,Doe,john.doe,password123,true
102,Jane,Smith,jane.smith,password456,true
103,Alice,Brown,alice.brown,password789,true
104,Bob,Johnson,bob.johnson,password321,true
105,Charlie,Davis,charlie.davis,password654,true
106,Diana,Garcia,diana.garcia,password987,true
107,Eve,Martinez,eve.martinez,password147,true
108,Frank,Wilson,frank.wilson,password258,true
109,Grace,Lee,grace.lee,password369,true
110,Henry,Anderson,henry.anderson,password159,true
